fuzzer_id,run_id,iteration_id,full
68e59129-c057-4049-91dc-ede5e796f406,1,1,0.1290445327758789
68e59129-c057-4049-91dc-ede5e796f406,1,2,0.10677886009216309
68e59129-c057-4049-91dc-ede5e796f406,1,3,0.14262914657592773
68e59129-c057-4049-91dc-ede5e796f406,2,1,0.12550783157348633
68e59129-c057-4049-91dc-ede5e796f406,2,2,0.15604448318481445
68e59129-c057-4049-91dc-ede5e796f406,2,3,0.1421358585357666
68e59129-c057-4049-91dc-ede5e796f406,3,1,0.1489119529724121
68e59129-c057-4049-91dc-ede5e796f406,3,2,0.13957929611206055
68e59129-c057-4049-91dc-ede5e796f406,3,3,0.09954667091369629
68e59129-c057-4049-91dc-ede5e796f406,4,1,0.1036994457244873
68e59129-c057-4049-91dc-ede5e796f406,4,2,0.1036369800567627
68e59129-c057-4049-91dc-ede5e796f406,4,3,0.15195631980895996
68e59129-c057-4049-91dc-ede5e796f406,5,1,15.16ms,0.14664649963378906
68e59129-c057-4049-91dc-ede5e796f406,5,2,12.54ms,0.15902495384216309
68e59129-c057-4049-91dc-ede5e796f406,5,3,11.16ms,0.12871122360229492
68e59129-c057-4049-91dc-ede5e796f406,6,1,0.157501220703125
68e59129-c057-4049-91dc-ede5e796f406,6,2,0.14188313484191895
68e59129-c057-4049-91dc-ede5e796f406,6,3,0.17638921737670898
68e59129-c057-4049-91dc-ede5e796f406,7,1,0.13466477394104004
68e59129-c057-4049-91dc-ede5e796f406,7,2,0.1355433464050293
68e59129-c057-4049-91dc-ede5e796f406,7,3,0.10186910629272461
68e59129-c057-4049-91dc-ede5e796f406,8,1,0.14066362380981445
68e59129-c057-4049-91dc-ede5e796f406,8,2,0.1325991153717041
68e59129-c057-4049-91dc-ede5e796f406,8,3,0.15659666061401367
68e59129-c057-4049-91dc-ede5e796f406,9,1,42.26ms,0.18624043464660645
68e59129-c057-4049-91dc-ede5e796f406,9,2,48.51ms,0.20295095443725586
68e59129-c057-4049-91dc-ede5e796f406,9,3,37.10ms,0.2166905403137207
68e59129-c057-4049-91dc-ede5e796f406,10,1,0.1546635627746582
68e59129-c057-4049-91dc-ede5e796f406,10,2,0.10046601295471191
68e59129-c057-4049-91dc-ede5e796f406,10,3,0.1367199420928955
68e59129-c057-4049-91dc-ede5e796f406,11,1,7.49ms,0.12021183967590332
68e59129-c057-4049-91dc-ede5e796f406,11,2,9.63ms,0.13009405136108398
68e59129-c057-4049-91dc-ede5e796f406,11,3,10.02ms,0.12980937957763672
68e59129-c057-4049-91dc-ede5e796f406,12,1,0.09946179389953613
68e59129-c057-4049-91dc-ede5e796f406,12,2,0.1300961971282959
68e59129-c057-4049-91dc-ede5e796f406,12,3,0.10181713104248047
68e59129-c057-4049-91dc-ede5e796f406,13,1,9.07ms,0.15687870979309082
68e59129-c057-4049-91dc-ede5e796f406,13,2,5.45ms,0.16498231887817383
68e59129-c057-4049-91dc-ede5e796f406,13,3,9.04ms,0.14559245109558105
68e59129-c057-4049-91dc-ede5e796f406,14,1,0.14926624298095703
68e59129-c057-4049-91dc-ede5e796f406,14,2,0.10403776168823242
68e59129-c057-4049-91dc-ede5e796f406,14,3,0.10805773735046387
68e59129-c057-4049-91dc-ede5e796f406,15,1,0.14018583297729492
68e59129-c057-4049-91dc-ede5e796f406,15,2,0.14505648612976074
68e59129-c057-4049-91dc-ede5e796f406,15,3,0.12766361236572266
68e59129-c057-4049-91dc-ede5e796f406,16,1,10.77ms,0.15640664100646973
68e59129-c057-4049-91dc-ede5e796f406,16,2,11.40ms,0.12433695793151855
68e59129-c057-4049-91dc-ede5e796f406,16,3,15.02ms,0.11192941665649414
68e59129-c057-4049-91dc-ede5e796f406,17,1,0.13733339309692383
68e59129-c057-4049-91dc-ede5e796f406,17,2,0.12928271293640137
68e59129-c057-4049-91dc-ede5e796f406,17,3,0.1444690227508545
