fuzzer_id,run_id,iteration_id,timestamp,execution_exitcode,execution_time,execution_is_timeout,last_context,panic_message,panic_location,circuits_accumulated_size,circuits_count,circuits_inputs,circuits_outputs
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,2,1773424286,0,5.093301057815552,False,Prover & Verifier,,,418,5,7,7
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,3,1773424292,0,5.303579092025757,False,Prover & Verifier,,,418,5,7,7
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,1,1773424299,0,4.776405334472656,False,Prover & Verifier,,,908,7,10,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,2,1773424304,0,4.846106290817261,False,Prover & Verifier,,,908,7,10,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,3,1773424311,-9,6.462335824966431,False,Prover & Verifier,,,908,7,10,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,1,1773424325,0,4.851930618286133,False,Prover & Verifier,,,313,2,10,5
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,2,1773424329,0,4.3267433643341064,False,Prover & Verifier,,,313,2,10,5
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,3,1773424334,0,4.972831726074219,False,Prover & Verifier,,,313,2,10,5
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,1,1773424342,0,5.183061599731445,False,Prover & Verifier,,,109,2,1,2
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,2,1773424347,0,5.063274383544922,False,Prover & Verifier,,,109,2,1,2
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,3,1773424353,0,5.35123085975647,False,Prover & Verifier,,,109,2,1,2
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,1,1773424362,0,5.572384834289551,False,Prover & Verifier,,,448,2,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,2,1773424367,0,4.788052320480347,False,Prover & Verifier,,,448,2,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,3,1773424372,0,5.128858804702759,False,Prover & Verifier,,,448,2,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,1,1773424380,0,5.206640958786011,False,Prover & Verifier,,,1112,7,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,2,1773424385,0,5.064037322998047,False,Prover & Verifier,,,1112,7,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,3,1773424390,0,4.785780668258667,False,Prover & Verifier,,,1112,7,12,10
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,1,1773424398,0,4.832413673400879,False,Prover & Verifier,,,995,4,6,9
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,2,1773424402,0,4.648200988769531,False,Prover & Verifier,,,995,4,6,9
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,3,1773424408,0,5.259627342224121,False,Prover & Verifier,,,995,4,6,9
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,1,1773424416,0,5.416150808334351,False,Prover & Verifier,,,734,5,3,5
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,2,1773424421,0,5.0483973026275635,False,Prover & Verifier,,,734,5,3,5
