fuzzer_id,run_id,iterations,run_time
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,3,119.3104796409607
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,3,18.62985634803772
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,3,16.481434106826782
3506092e-00c1-4a1e-84f2-ca6b290af36a,4,3,16.119309186935425
3506092e-00c1-4a1e-84f2-ca6b290af36a,5,3,17.260284900665283
3506092e-00c1-4a1e-84f2-ca6b290af36a,6,3,17.368408679962158
3506092e-00c1-4a1e-84f2-ca6b290af36a,7,3,16.073936462402344
3506092e-00c1-4a1e-84f2-ca6b290af36a,8,3,16.019032955169678
3506092e-00c1-4a1e-84f2-ca6b290af36a,9,3,16.678895950317383
3506092e-00c1-4a1e-84f2-ca6b290af36a,10,3,17.61840057373047
3506092e-00c1-4a1e-84f2-ca6b290af36a,11,3,17.50781559944153
3506092e-00c1-4a1e-84f2-ca6b290af36a,12,3,39.269033432006836
3506092e-00c1-4a1e-84f2-ca6b290af36a,13,3,23.94561266899109
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,3,19.087749242782593
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,3,19.093913555145264
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,3,23.61020588874817
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,3,18.51505446434021
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,3,18.81681799888611
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,3,18.34326696395874
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,3,17.675822734832764
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,3,18.652409076690674
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,3,32.18244552612305
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,3,30.77111554145813
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,3,4173.425628185272
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,4,3,33.072391986846924
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,5,3,32.89488506317139
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,6,3,30.784144401550293
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,7,3,34.44314789772034
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,8,3,23.887922048568726
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,9,3,27.526201248168945
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,10,3,20.897949695587158
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,11,3,28.45909309387207
8247199c-b687-4ca7-91cd-ecf4b5119192,1,3,137.69662380218506
8247199c-b687-4ca7-91cd-ecf4b5119192,2,3,22.640539407730103
8247199c-b687-4ca7-91cd-ecf4b5119192,3,3,30.777419805526733
8247199c-b687-4ca7-91cd-ecf4b5119192,4,3,31.16078758239746
