fuzzer_id,run_id,iteration_id,add,and,auipc,beq,bge,bgeu,blt,bltu,bne,div,divu,ebreak,ecall,jal,jalr,lb,lbu,lh,lhu,lw,mul,mulh,mulhsu,mulhu,or,rem,remu,sb,sh,sll,slt,sltu,sra,srl,sub,sw,unimp,xor
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506092e-00c1-4a1e-84f2-ca6b290af36a,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
